target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
UK Department of Transport,UK Department of Transport,done,uk-department-for-transport.png,Department for Transport,"Department for Transport, United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/en/1/11/Department_for_Transport.svg,Caveat: this is the standard UK government departmental lockup with the Royal Arms. The Commons file shows the older (1952-2022) version of the arms.
UK Investigatory Powers Commissioner's Office,UK Investigatory Powers Commissioner's Office,done,ipco.png,Investigatory Powers Commissioner's Office,"Investigatory Powers Commissioner's Office (IPCO), United Kingdom",official-site,https://www.ipco.org.uk/wp-content/themes/jsarc/img/v/generic/logos/a/jsarc-logo-sprite.png,"Wikipedia only has the royal coat of arms and a photo, so I used IPCO's own header logo from its website. The logo is 'IPCO' with the strapline 'Authorisation & Oversight'."
UK Office for National Statistics (ONS),UK Office for National Statistics (ONS),done,ons.png,Office for National Statistics,"Office for National Statistics (ONS), United Kingdom",official-site,https://cdn.ons.gov.uk/assets/images/ons-logo/v2/ons-logo.svg,The Wikipedia page has no logo image. I used the SVG header logo from the ONS website.
UK Trade and Investment (UKTI),UK Trade and Investment (UKTI),done,ukti.png,UK Trade and Investment,"UK Trade and Investment (UKTI), United Kingdom (closed 2016; functions now with the Department for Business and Trade)",wikimedia,https://upload.wikimedia.org/wikipedia/en/f/fb/UKtrade.svg,"UKTI is closed, so I used the last logo it had: royal arms with 'UK Trade & Investment'."
UNAIDS,UNAIDS,done,unaids.png,UNAIDS,"Joint United Nations Programme on HIV/AIDS (UNAIDS), Geneva, Switzerland",wikimedia,https://upload.wikimedia.org/wikipedia/commons/e/ee/UNAIDS.svg,
UPS,UPS,done,ups.png,UPS,"United Parcel Service (UPS), United States",wikimedia,https://upload.wikimedia.org/wikipedia/commons/6/6b/United_Parcel_Service_logo_2014.svg,
US Consulate Jordan,US Consulate Jordan,done,us-department-of-state.png,US Consulate Jordan,US diplomatic mission in Jordan (United States Department of State),wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/7b/Seal_of_the_United_States_Department_of_State.svg,"Following the embassy rule, this uses the US Department of State seal. Groups 606 and 607 share the same file."
US Embassy Nairobi,US Embassy Nairobi,done,us-embassy-nairobi.png,US Embassy Nairobi,"Embassy of the United States, Nairobi, Kenya (United States Department of State)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/7b/Seal_of_the_United_States_Department_of_State.svg,Uses the same Department of State seal file made for group 605.
US Embassy Nigeria,US Embassy Nigeria,done,us-embassy-nigeria.png,US Embassy Nigeria,"Embassy of the United States, Abuja, Nigeria (United States Department of State)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/7b/Seal_of_the_United_States_Department_of_State.svg,Uses the same Department of State seal file made for group 605.
USAID,USAID,done,usaid.png,USAID,"United States Agency for International Development (USAID), United States (closed 2025)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/17/USAID-Identity.svg,"USAID is closed, so I used the last standard brand lockup: seal plus 'USAID From the American People'."
UWC,UWC Dilijan College,done,uwc.png,UWC,"UWC (United World Colleges) movement; client is UWC Dilijan College, Armenia",wikimedia,https://upload.wikimedia.org/wikipedia/en/b/b9/United_World_Colleges_logo.svg,"Following the note, this is the UWC movement logo, not a Dilijan-specific mark. I checked it matches the current logo in the uwc.org header."
Ubisoft,Ubisoft,done,ubisoft.png,Ubisoft,"Ubisoft Entertainment, France (client office in Bulgaria)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/78/Ubisoft_logo.svg,"The logo is black, which is Ubisoft's standard colour."
Uganda Bureau of Statistics,Uganda Bureau of Statistics,done,ubos.png,Uganda Bureau of Statistics,"Uganda Bureau of Statistics (UBOS), Uganda",official-site,https://www.ubos.org/wp-content/themes/ubosug/images/logo/ubos_logo.png,"Caveat: this is the UBOS roundel only. The site's lockup file (roundel plus name) is only 322px, below the 400px minimum. So I cropped the roundel from the large header banner (4835x555), which also holds the name and the Uganda arms. Fetching ubos.org needed the site's missing Sectigo intermediate certificate added to the CA bundle."
Uganda Cancer Institute,Uganda Cancer Institute,failed,,Uganda Cancer Institute,"Uganda Cancer Institute, Kampala, Uganda",,https://uci.or.ug/media/uploads/2026/08/uci-logo-stacked_Q2p51xV.png,"Wikipedia and Commons have no logo. The only full logo on the official site is the 333x150 original, too small to use without upscaling."
Uganda Electricity Generation Company,Uganda Electricity Generation Company,done,uegcl.png,UEGCL,"Uganda Electricity Generation Company Limited (UEGCL), Uganda",official-site,https://uegcl.com/wp-content/themes/kipya/assets/images/uegcl-main-logo.png,"The Wikipedia page has no logo, so I used the site header logo, which includes the strapline 'Generating for Generations'."
Uganda National Council for Science and Technology (UNCST),Uganda National Council for Science and Technology (UNCST),failed,,Uganda National Council for Science and Technology,"Uganda National Council for Science and Technology (UNCST), Uganda",,https://www.uncst.go.ug/assets/img/logo.png,"Wikipedia and Commons have no logo. On the official site the largest logo file is about 166px (logo.png 150x133, UNCST Logo.JPG 166x173), too small to use without upscaling."
Uganda National Oil Company,Uganda National Oil Company,done,unoc.png,UNOC,"Uganda National Oil Company (UNOC), Uganda",wikimedia,https://upload.wikimedia.org/wikipedia/en/8/88/Uganda_National_Oil_Company_Logo.jpg,"Raster from Wikipedia, 406px wide after trimming. The site header currently shows a 10th-anniversary version, so I used the standard logo instead."
Uganda National Planning Authority,Uganda National Planning Authority,failed,,National Planning Authority,"National Planning Authority (NPA), Uganda",,https://www.npa.go.ug/,"Wikipedia and Commons have no logo. The official site returns 403 to automated requests, including with a browser user agent."
Uganda National Roads Authority,Uganda National Roads Authority,failed,,Uganda National Roads Authority,"Uganda National Roads Authority (UNRA), Uganda",,https://www.unra.go.ug/,"Wikipedia and Commons have no logo. The official site resets the HTTPS connection and returns 503 over HTTP, so no logo could be fetched."
Umbutfo Swaziland Defense Force,Umbutfo Swaziland Defense Force,done,eswatini-coat-of-arms.png,Umbutfo Eswatini Defence Force,"Umbutfo Eswatini Defence Force (formerly Umbutfo Swaziland Defence Force), Eswatini",wikimedia,https://upload.wikimedia.org/wikipedia/commons/a/a5/Coat_of_arms_of_Eswatini.svg,"Wikipedia, Commons and the web have no public mark for the force, so under the government-body rule it gets the Eswatini coat of arms."
Unilever,Unilever,done,unilever.png,Unilever,"Unilever PLC, United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/en/e/e4/Unilever.svg,"The official site blocked automated requests (403), so the logo was taken from the English Wikipedia file. It is the stacked U and wordmark."
United Arab Bank,United Arab Bank,done,united-arab-bank.png,United Arab Bank,"United Arab Bank P.J.S.C., UAE",official-site,https://www.uab.ae/-/media/project/uabasset/uab/footer/footerlogo.svg,Wikipedia has no logo. This is the stacked bilingual UAB lockup from the site.
United Gulf Bank,United Gulf Bank,done,united-gulf-bank.png,United Gulf Bank,"United Gulf Bank B.S.C. (c), Bahrain",official-site,https://www.ugbbh.com/wp-content/uploads/2016/03/3-1.jpg,Taken from the site header as a raster just over the 400px minimum (455px wide). It is the bilingual lockup.
Universidad Técnica Federico Santa María,Universidad Técnica Federico Santa María,done,utfsm.png,Universidad Técnica Federico Santa María,"Universidad Técnica Federico Santa María (USM), Chile",official-site,https://usm.cl/wp-content/uploads/2021/07/logo-usm.svg,The Commons file is the crest only. The site's lockup (crest plus name) was used instead.
University of Buraimi,University of Buraimi,done,university-of-buraimi.png,University of Buraimi,"University of Buraimi, Oman",wikimedia,https://upload.wikimedia.org/wikipedia/commons/9/9f/UoB_-_Logo.jpg,Bilingual lockup. JPEG source.
University of Gibraltar,University of Gibraltar,done,university-of-gibraltar.png,University of Gibraltar,"University of Gibraltar, Gibraltar",wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/86/Logored_x2.png,Raster just over the 400px minimum (451px wide). The official site is behind a captcha.
University of Ilorin,University of Ilorin,failed,,University of Ilorin,"University of Ilorin, Nigeria",,,"Wikipedia and Commons have no logo file (only photos), and the largest logo on the official site is 317px, below the 400px minimum."
University of Jos,University of Jos,done,university-of-jos.png,University of Jos,"University of Jos, Nigeria",official-site,https://www.unijos.edu.ng/sites/default/files/ujweb_official_logo_0.png,"The Wikipedia logo is too small (141px). The site's official horizontal lockup was used; it is very wide, so it sits small on the tile."
University of Luxembourg,University of Luxembourg,done,university-of-luxembourg.png,University of Luxembourg,"Université du Luxembourg, Luxembourg",wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/1e/University_of_Luxembourg_logo_%28fr%29.svg,"The logo is the French version (Université du Luxembourg), as used on uni.lu."
University of New England,University of New England,failed,,University of New England,,,,"Identity unclear: there is no UK University of New England. The candidates are the University of New England in Armidale, Australia and the University of New England in Maine, USA."
University of Salford,University of Salford,done,university-of-salford.png,University of Salford,"University of Salford, United Kingdom",official-site,https://www.salford.ac.uk/themes/custom/uos/img/icons/dark-logo.svg,The Wikipedia logo is too small (304px). The site's stacked crest lockup was used.
Urban Transport Group,Urban Transport Group,done,urban-transport-group.png,Urban Transport Group,"Urban Transport Group, United Kingdom",official-site,https://www.urbantransportgroup.org/themes/custom/utgtheme/images/utg_logo.png,Wikipedia has no logo. The raster is just over the 400px minimum (457px wide).
VAMED,VAMED,done,vamed.png,VAMED,"VAMED AG, Austria (group of VAMED Emirates)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c1/Vamed_2009_logo.svg,"The official site is unreachable (expired TLS certificate), so the Commons 2009 stacked V and VAMED logo was used and could not be checked against the live site."
VTTI,VTTI,done,vtti.png,VTTI,VTTI B.V. (Netherlands-headquartered energy storage company; client office in the UAE),official-site,https://www.vtti.com/wp-content/themes/vtti_2024/images/vtti_new_blue.svg,"Blue SVG from vtti.com. I removed its rectangular masks, which did nothing but caused faded letter tops when rendered. The logo itself is unchanged."
Venture Capital Trust Fund,Venture Capital Trust Fund,done,venture-capital-trust-fund.png,Venture Capital Trust Fund,"Venture Capital Trust Fund (VCTF), Ghana",official-site,https://venturecapitalghana.com.gh/wp-content/uploads/2023/05/VCTF-LOGO.png,Wikipedia has no logo. This is the full lockup from the site header.
Vice President's Office for Political Affairs (VPOPA),Vice President's Office for Political Affairs (VPOPA); VPOPA,done,uae-vpopa.png,Vice President's Office for Political Affairs,"Vice President's Office for Political Affairs (VPOPA), UAE government",wikimedia,https://upload.wikimedia.org/wikipedia/commons/e/eb/Emblem_of_the_United_Arab_Emirates.svg,UAE coat of arms (no mark of its own)
Virginia Department of Social Services,Virginia Department of Social Services,done,virginia-department-of-social-services.png,Virginia Department of Social Services,"Virginia Department of Social Services (VDSS), United States",official-site,https://www.dss.virginia.gov/media/vdss/site-assets/images/vdss-logo_horiz-blue_left-aligned_RGB-vector.svg,Wikipedia shows only the state seal. The department's own horizontal logo from its site was used.
Vorwerk,Vorwerk,done,vorwerk.png,Vorwerk,"Vorwerk SE und Co. KG, Germany",official-site,https://www.vorwerk.com/,"Commons Vorwerk.svg was rate-limited (429), so the inline SVG logo from the vorwerk.com page was used."
Watts Gallery,Watts Gallery,done,watts-gallery.png,Watts Gallery,"Watts Gallery Trust (Watts Gallery Artists' Village), United Kingdom",official-site,https://www.wattsgallery.org.uk/,"Wikipedia has no logo. The site header's inline SVG wordmark (Watts Gallery Artists' Village) was used, rendered dark."
We Communications,We Communications,done,we-communications.png,WE Communications,"WE Communications, United States",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c9/We._Communications_logo_2025.svg,2025 'We.' roundel logo.
